subid,age,date,notes,researcher,lab,condition,person_gender,answer,utterance
1,7,09/10/2021,NA,jordyn,yurovsky,no_adj,boy,most,look at this hibble.
2,5,10/12/21,run after ses,rachel,kinzler,adj,girl,some,look at this hibble. she is a nice hibble.
3,9,10/12/21,run after ses,rachel,kinzler,adj,girl,some,look at this hibble. she is a nice hibble.
4,7,10/19/21,run after ses,rachel,kinzler,adj,boy,most,look at this hibble. he is a nice hibble.
5,5,11/8/21,run after ses,rachel,kinzler,no_adj,boy,some,look at this hibble.
6,5,11/9/21,run after ses,rachel,kinzler,no_adj,boy,all,look at this hibble.
7,9,11/12/21,run after ses,rachel,kinzler,no_adj,boy,all,look at this hibble.
8,10,11/12/21,run after ses,rachel,kinzler,no_adj,boy,all,look at this hibble.
9,5,11/12/21,run after ses,rachel,kinzler,no_adj,? (will have to check),some,look at this hibble.
10,7,11/12/21,run after ses,rachel,kinzler,adj,? (will have to check),some,? (will have to check)
11,4,11/16/21,run after ses,rachel,kinzler,adj,girl,all,look at this hibble. she is a nice hibble.
12,7,11/16/21,run after ses,rachel,kinzler,no_adj,? (will have to check),most,look at this hibble.
13,7,11/17/21,run after ses,rachel,kinzler,no_adj,? (will have to check),some,look at this hibble.
14,9,11/22/21,run after ses,rachel,kinzler,adj,boy,most,look at this hibble. he is a nice hibble.
15,8,11/22/21,run after ses,rachel,kinzler,adj,girl,most,look at this hibble. she is a nice hibble.
16,9,11/30/21,run after ses,rachel,kinzler,adj,girl,most,look at this hibble. she is a nice hibble.
17,7,12/2/21,run after ses,rachel,kinzler,adj,girl,some,look at this hibble. she is a nice hibble.
18,5,12/6/21,NA,claire,yurovsky,adj,girl,some,look at this hibble. she is a nice hibble.
19,4,12/6/21,NA,claire,yurovsky,adj,girl,most,look at this hibble. she is a nice hibble.
20,5,12/7/21,NA,claire,yurovsky,no_adj,girl,all,look at this hibble.
21,3,12/7/21,refused to answer,claire,yurovsky,NA,NA,NA,NA
22,6,12/9/21,"responded ""half"" before being prompted to choose among the options",claire,yurovsky,no_adj,boy,most,look at this hibble.
23,4,12/9/21,NA,claire,yurovsky,no_adj,boy,none,look at this hibble.
24,4,12/10/21,NA,claire,yurovsky,no_adj,boy,all,look at this hibble.
25,5,12/10/21,"responded ""most of them are gone"" before being prompted again",claire,yurovsky,adj,boy,all,look at this hibble. he is a nice hibble.
26,3,12/10/21,NA,claire,yurovsky,no_adj,boy,all,look at this hibble.
27,3,12/10/21,was quiet; parent had to repeat her response,claire,yurovsky,no_adj,boy,all,look at this hibble.
28,3,12/10/21,"said ""zero"", marked ""none""",claire,yurovsky,no_adj,boy,none,look at this hibble.
29,3,12/14/21,NA,claire,yurovsky,no_adj,boy,some,look at this hibble.
30,6,12/14/21,NA,claire,yurovsky,no_adj,girl,most,look at this hibble.
31,8,1/6/21,NA,claire,yurovsky,no_adj,girl,most,look at this hibble.
32,4,1/6/21,NA,claire,yurovsky,no_adj,girl,some,look at this hibble.
33,6,1/7/21,NA,claire,yurovsky,adj,girl,most,look at this hibble. she is a nice hibble.
